"tsUtc","wallet","propertyId","mint","tokens","priceUSD","estValueUSD","quarter","daysHeld","totalDays","accruedUSD","note"
"2025-09-02T03:37:57Z","69CJqijdBsRg6FdcXZxrtPnjJwsYy1mRcWPpATLxXF6B","kin-001","71JhEvLjtER5joZ6MW1knrZoxv4rzGUJW11zqs4CvqnK","1","50","50","2025-Q3","64","92","1.04","Estimate; final payout in USDC at quarter end."
"2025-09-02T03:37:57Z","69CJqijdBsRg6FdcXZxrtPnjJwsYy1mRcWPpATLxXF6B","test-001","FyfXRmEYzrWfzdjHXe2LfKQj2syv2rhgkkgKQDSnq8EW","200","1","200","2025-Q3","64","92","208.7","Estimate; final payout in USDC at quarter end."
