ts,wallet,tokens,daysHeld,totalDays,usd,ui_amount,raw_amount,tx,ok,message
2025-08-30T03:41:16,8EsLC3fTyGn8uDRnJmQSuLwLAMGh3DV8Xju7uoKtT2DY,120,90,92,176.09,176.090000,176090000,,dryrun,preview only
2025-08-30T03:41:17,EKV4MH2TnAZRETd6qrJDbrQoiG5cyFEnkmnkxAzPBDk4,40,60,92,39.13,39.130000,39130000,,dryrun,preview only
2025-08-30T03:41:18,CnyoYEQBgamz3BSRHMdBuQEvt3TnqSwQHZKi6aWXYcyb,10,92,92,15.0,15.000000,15000000,,dryrun,preview only
2025-08-30T03:47:00,8EsLC3fTyGn8uDRnJmQSuLwLAMGh3DV8Xju7uoKtT2DY,120,90,92,176.09,176.090000,176090000,,dryrun,preview only
2025-08-30T03:47:01,EKV4MH2TnAZRETd6qrJDbrQoiG5cyFEnkmnkxAzPBDk4,40,60,92,39.13,39.130000,39130000,,dryrun,preview only
2025-08-30T03:47:02,CnyoYEQBgamz3BSRHMdBuQEvt3TnqSwQHZKi6aWXYcyb,10,92,92,15.0,15.000000,15000000,,dryrun,preview only
2025-08-30T03:47:03,8EsLC3fTyGn8uDRnJmQSuLwLAMGh3DV8Xju7uoKtT2DY,120,90,92,176.09,176.090000,176090000,Rhg1JpPTNmsUiCrcQFcYwMqM61bsxEk2K7ppCNVawzDQTgAogSqiEExHLhFEHnLMEcwxroSEUhMdLJd5KntDQAG,ok,
2025-08-30T03:47:07,EKV4MH2TnAZRETd6qrJDbrQoiG5cyFEnkmnkxAzPBDk4,40,60,92,39.13,39.130000,39130000,5wQFsLxTD5zbkvbkpN39Zv2CKNokpouU7DGkAyW5V8WWnHNuMKWyJDDrAK7Z2vSgJBUoMN6mPTzMKQHXiHXekbJQ,ok,
2025-08-30T03:47:10,CnyoYEQBgamz3BSRHMdBuQEvt3TnqSwQHZKi6aWXYcyb,10,92,92,15.0,15.000000,15000000,3eyP8dnHTvEZx1bjDq7rrmSh3CbAe9y4Gen7QXVrGELCGT4H9QRX321xxME7TpSnNqNKVpgzGUTtscJsq2GLCU3y,ok,
