ts,wallet,tokens,daysHeld,totalDays,usd,ui_amount,raw_amount,tx,ok,message
2025-08-30T03:07:59,7YxxxUserWallet1111111111111111111111111111,120,90,92,176.09,176.090000,176090000,,fail,Cannot index into a null array.
2025-08-30T03:08:00,F7xxxUserWallet2222222222222222222222222222,40,60,92,39.13,39.130000,39130000,,fail,Cannot index into a null array.
2025-08-30T03:08:01,9KxxxUserWallet3333333333333333333333333333,10,92,92,15.0,15.000000,15000000,,fail,Cannot index into a null array.
2025-08-30T03:11:32,8EsLC3fTyGn8uDRnJmQSuLwLAMGh3DV8Xju7uoKtT2DY,120,90,92,176.09,176.090000,176090000,46xjHfmv5qwQDX63ZaRocTPMPPEJ3AnbCwxL2tPmSZif71zdqbjcCdramqKMzdKYJSLFgcgYcDiDwMK6DR63fQMT,ok,
2025-08-30T03:11:37,EKV4MH2TnAZRETd6qrJDbrQoiG5cyFEnkmnkxAzPBDk4,40,60,92,39.13,39.130000,39130000,5BZkvreiPKT53iiG99wntPs1PzxABa9iSFcJatKKMjcFoKqyZopLqQk1T1PRTvoP46NtQreQzuVxbeikmnEjGYZH,ok,
2025-08-30T03:11:42,CnyoYEQBgamz3BSRHMdBuQEvt3TnqSwQHZKi6aWXYcyb,10,92,92,15.0,15.000000,15000000,4j3UKc1JEtqN7UsuHbZzUsWszTfRAG9mXTTggqvTuZJab33ELCfWadXvk8XbbMH2sHuJmLgYZF5JHRKw1Tzn6Tp6,ok,
